Date,Close,High,Low,Open,Volume
2024-01-02,321.6531982421875,323.7224880315888,319.9194835664788,320.84226534898175,2833600
2024-01-03,315.2962646484375,319.4348448659906,313.7396248433295,319.2297790553621,3309600
2024-01-04,315.60382080078125,319.6398819734912,315.55722657583374,316.8528475548833,3652400
2024-01-05,319.6584777832031,320.488042635645,314.8860691001501,314.9326633198223,2664300
2024-01-08,324.3097839355469,324.80380225307675,319.94750576047477,320.11527912586837,2736200
2024-01-09,322.6878662109375,325.40961741116234,321.8116786263414,322.33365908791336,2338100
2024-01-10,332.57757568359375,332.6335001322112,326.52817744311216,326.8171299095701,4109300
2024-01-11,332.3258972167969,336.4924390823242,329.27790115313246,332.8478776721192,3530400
2024-01-12,331.5615539550781,334.1901166410963,329.43633971752746,334.1901166410963,1956100
2024-01-16,334.0968933105469,335.2340710746875,332.0276035576287,333.75201642602724,3669400
2024-01-17,331.55224609375,335.33661849602987,330.01423855420137,332.41910341712435,2646100
2024-01-18,333.6029052734375,334.3579137769845,329.99563610186783,331.9437469211511,2510700
2024-01-19,337.8067932128906,338.319443555794,332.0929407504379,334.4511835302471,3234600
2024-01-22,332.47503662109375,336.9212006883451,331.54292460689254,334.9637597693623,4003700
2024-01-23,326.96624755859375,331.72002446718426,325.36301377420875,331.692062244902,3878400
2024-01-24,323.6945495605469,328.9143828618991,323.50814421330756,328.0475254604386,3474400
2024-01-25,327.14337158203125,328.9237090341873,324.6173558584958,328.65338857134617,3064200
2024-01-26,331.1794128417969,332.81060899261365,327.18997425077424,327.609436067877,3177700
2024-01-29,331.55224609375,332.17674519716144,329.0448625659507,331.039567431967,2732000
2024-01-30,332.85723876953125,334.5629914074998,330.00497800059765,330.43374160456824,2336500
2024-01-31,328.9982604980469,334.6095932323338,328.42968580275056,333.6215567371156,3377900
2024-02-01,335.6256103515625,335.6908650254927,328.40174158350237,329.4084101343816,2439100
2024-02-02,332.9783935546875,335.14087186390464,326.2578452801447,330.1354347714817,3697600
2024-02-05,331.0303649902344,331.89722257373387,326.9477086991607,329.6508285911081,2653800
2024-02-06,332.0649108886719,333.6961069421601,330.24728105075,330.7599597350416,2045300
2024-02-07,338.06768798828125,339.0370923884662,333.4350904237716,334.1435046138067,3272200
2024-02-08,339.02777099609375,340.8267402931159,337.09829236769787,338.2261399003128,2521900
2024-02-09,338.49652099609375,339.68962340819166,336.30605175823285,339.4100011419989,2389900
2024-02-12,340.6404113769531,343.6884079992224,339.3354315536829,339.4939031422137,3119700
2024-02-13,333.3139953613281,335.0290783813045,329.85586709344443,334.13425864170955,3106500
2024-02-14,333.9105224609375,334.60960652471033,329.94904609955825,332.92248592646956,2998900
2024-02-15,336.5670471191406,337.0890561002816,332.6242308770837,334.5350494318852,2662800
2024-02-16,337.7508239746094,339.27947302158856,334.7680538864399,336.1941842567538,3899600
2024-02-20,337.9559020996094,340.4539557832228,330.489674829057,331.18875892717443,4830000
2024-02-21,339.40997314453125,340.32342476928176,334.58163944118377,336.1102884466168,3277800
2024-02-22,346.1304931640625,347.64051016833173,342.22494130941413,342.4952617749324,3387500
2024-02-23,346.7084045410156,348.84294918892044,345.11450083419584,346.8202534403288,3398200
2024-02-26,346.37286376953125,349.4301903348843,345.55260056612855,348.15320130287034,2461000
2024-02-27,350.0640869140625,350.2877847594425,345.45011973243396,347.3609669810862,2802900
2024-02-28,351.97479248046875,354.05341244442775,349.59791830055985,350.0639742923695,2282500
2024-02-29,354.7711486816406,355.8617322808777,352.47816103587786,353.0747263934302,4382800
2024-03-01,358.3504943847656,358.95636153720784,354.04411275459154,354.5381310106817,2750900
2024-03-04,354.5474548339844,358.4250443637435,354.3050965990612,356.90569717551404,2619000
2024-03-05,352.7578125,355.11605482058474,351.4248706655636,354.2957916750245,3011600
2024-03-06,353.9205322265625,356.1522315413631,352.46712903378,354.94260747437926,2496300
2024-03-07,353.0859680175781,356.6022936662033,352.1764106384965,354.3237215137177,2368500
