Date,Close,High,Low,Open,Volume
2024-01-02,363.11798095703125,368.0428414876802,359.10367417076867,366.0454736937905,25258600
2024-01-03,362.85357666015625,365.45797986261033,360.8072662610182,361.2968150611858,23083500
2024-01-04,360.24920654296875,365.30135421024977,359.49531207816057,362.92215399405467,20901500
2024-01-05,360.0631408691406,364.2830491168241,358.8392688743441,361.25764113124956,21004600
2024-01-08,366.8580627441406,367.35741205524755,361.2967958412056,361.58071261682426,23134000
2024-01-09,367.93511962890625,368.13092123395006,363.4312643972459,364.23413165308716,20830000
2024-01-10,374.7691955566406,376.1399561660862,368.45403366179033,368.50297659226095,25514200
2024-01-11,376.59033203125,382.5138608324762,372.4291670394017,377.9316910243427,27850800
2024-01-12,380.35009765625,380.55569981393256,376.6099371438589,377.4323756542809,21661200
2024-01-16,382.1123962402344,385.79381264906647,379.5177936668549,385.43155133047776,27202300
2024-01-17,381.3291320800781,381.9557389879291,376.7665338147622,379.87028626114164,22234100
2024-01-18,385.63720703125,385.75469397471676,381.9655906494616,383.53215294829613,23392100
2024-01-19,390.3368225097656,390.3368225097656,385.2748751705021,387.48764513323476,29331100
2024-01-22,388.2220153808594,392.2460923450514,385.36303712070327,391.6586277842315,27016900
2024-01-23,390.5620422363281,391.03201985975426,385.6959257751216,387.47789064929606,20525900
2024-01-24,394.1455078125,397.1513444657461,392.07962632176026,393.1468390669837,24867000
2024-01-25,396.40728759765625,398.5025710526844,394.1162025271926,395.8687958055948,21021200
2024-01-26,395.4868469238281,397.6800456471152,394.0182006704119,395.917652215205,17803300
2024-01-29,401.1558532714844,401.4104281984527,395.8785030835569,397.57235261817027,24510200
2024-01-30,400.04949951171875,404.41626660201007,397.9542461080957,403.64280098293807,33477600
2024-01-31,389.26959228515625,406.6388032074163,388.90733097100707,398.45353212037105,47871100
2024-02-01,395.34002685546875,399.4718199134869,393.40140285508346,393.4307745878308,30657700
2024-02-02,402.6245422363281,404.02464472350925,395.12465055102524,395.36942496681314,28256700
2024-02-05,397.1709899902344,402.56582806837224,395.5456841655395,401.3321553615057,25352300
2024-02-06,397.0143127441406,399.44248577195293,394.48825385108364,397.39617518548,18382600
2024-02-07,405.3953857421875,405.640160164174,398.88439209328425,398.9235643671154,22340500
2024-02-08,405.4541015625,406.8738050650789,403.90714046810643,405.3953580956046,21225300
2024-02-09,411.759521484375,412.0238969836169,406.4136564644989,406.5703156804263,22032800
2024-02-12,406.5801086425781,411.9455447595813,406.0807592685953,411.7693143498308,21202900
2024-02-13,397.82696533203125,401.4985815288795,394.9582163813525,396.4758057908408,27824900
2024-02-14,401.67205810546875,402.0153819358465,396.84600689910087,400.2791853329973,20401200
2024-02-15,398.7980041503906,401.31894521125486,396.5713534874336,400.3478557485238,21825500
2024-02-16,396.34576416015625,400.4950166150196,395.737605866878,400.17130014605374,22296500
2024-02-20,395.1000671386719,396.7675933071184,390.4113266074818,395.5414579178433,24307900
