Date,Close,High,Low,Open,Volume
2024-01-02,88.23572540283203,88.9847264636809,87.28246077066551,87.64236362470636,10587600
2024-01-03,89.15007019042969,89.56834140428779,87.54507565254214,87.76880522235426,11929800
2024-01-04,88.08979797363281,89.43216054658811,87.5450754346295,89.43216054658811,12087400
2024-01-05,88.42052459716797,88.82906648720767,87.89525327227932,87.94389239212165,9092100
2024-01-08,89.05279541015625,89.43215679408557,88.51779478087764,89.05279541015625,11103700
2024-01-09,87.22407531738281,88.61506959495078,87.15598499979367,88.56643789455168,11255100
2024-01-10,86.85444641113281,87.36998846626119,86.45562637827453,87.36998846626119,15091600
2024-01-11,87.01007843017578,87.33107883466752,86.27081421662237,86.95171741891849,9642200
2024-01-12,87.88552856445312,88.35243890700177,87.20462537874484,87.20462537874484,11919400
2024-01-16,90.51188659667969,90.5507889895906,87.01980684051028,87.82716878724415,16780900
2024-01-17,87.87580108642578,91.20251972083072,87.64234962093205,90.0547061686615,15735200
2024-01-18,89.69479370117188,89.98661359168601,87.94389662195137,88.18707739028379,12203200
2024-01-19,90.5216064453125,91.0274265972199,89.13061215949925,89.8017934520622,19790100
2024-01-22,92.48651885986328,92.63242881658434,90.33680158945825,90.33680158945825,15119400
2024-01-23,91.21224212646484,93.27441777702043,90.63833905776524,92.82696604007964,11559400
2024-01-24,90.9496078491211,92.65187323667148,90.71615638821771,91.84451130032414,10454900
2024-01-25,92.27251434326172,92.35033397277873,91.19279110290032,91.3581522496577,8661600
2024-01-26,92.75887298583984,92.92423412740963,92.11687219439744,92.40869208528729,7812800
2024-01-29,94.83077239990234,94.84050170880755,92.40869397268428,92.8172358912438,13422200
2024-01-30,94.29578399658203,94.87941639898679,93.39115117540362,93.88723463573892,9139600
2024-01-31,93.4300537109375,94.90858950989643,93.19659483113762,93.7899564967082,9592300
2024-02-01,94.4124984741211,95.25877021376925,93.28414357587826,93.74132460460929,8484800
2024-02-02,94.4805908203125,94.75295951870353,93.2063259504579,93.653777680168,9321300
2024-02-05,94.01367950439453,94.71404125232303,93.8580402620604,94.06231120165829,11679300
2024-02-06,96.5816650390625,96.61084554089467,94.14985760255057,94.27630891758574,16455500
2024-02-07,96.4357681274414,96.57194876856748,94.00396036263547,94.73350269207725,28886300
2024-02-08,107.52481842041016,109.69398689965745,103.88683589947775,104.15919719541115,60558400
2024-02-09,105.4334487915039,107.14544340491946,104.75254563796307,106.61044276907467,21509100
2024-02-12,106.30890655517578,108.03062314548087,104.88873174557165,104.93736344691376,13424000
2024-02-13,107.44699096679688,107.63181072756687,105.25836402782312,105.32645434685078,14594500
2024-02-14,108.5169906616211,108.63372010958807,106.67854452855062,107.56372614440085,11405500
2024-02-15,109.3827133178711,109.83989437770592,108.05008737552289,108.05008737552289,9961900
2024-02-16,108.55590057373047,109.48971389442735,108.12790744004977,108.96444251004375,8782200
2024-02-20,106.45481872558594,108.09871572253832,106.36726978728018,107.82635444121074,9770900
2024-02-21,104.73309326171875,106.24081701890667,104.31482203639675,105.52100401066237,10427500
2024-02-22,104.70391082763672,105.53072395419422,104.48018867710219,105.04436241842062,9266200
2024-02-23,104.80118560791016,105.05409569402318,102.94328833016914,104.6358244606121,11724000
2024-02-26,104.74282836914062,105.7933711450314,104.45100845763031,104.58718910399149,8694200
2024-02-27,106.43535614013672,106.59099539297279,104.84009090500734,104.84009090500734,7595000
2024-02-28,107.77771759033203,108.01116904584826,105.69609084386641,105.81281286098054,10773000
2024-02-29,108.53643798828125,109.67452215772238,107.94307634343666,108.1084374782195,11658300
2024-03-01,108.89634704589844,109.09089611683022,108.00144358347693,108.40026361292091,7242400
2024-03-04,110.58889770507812,111.01689084617605,108.75045153851909,109.59671593250704,11558900
2024-03-05,109.79125213623047,112.04796929094088,109.20761237552038,110.51106510747498,14929600
2024-03-06,107.05789947509766,110.20952758776644,106.26999615757452,109.99552732342976,14743900
2024-03-07,107.17462158203125,108.05007377564311,106.22134976647885,107.68043428206943,8609300
2024-03-08,107.31080627441406,108.27380001321879,106.35753442275441,107.17462564150381,10009200
2024-03-11,109.24652862548828,109.83016842059192,107.02872115221695,107.087082163212,8794300
2024-03-12,109.3924331665039,109.86906538240741,108.59480056341955,109.45079417461392,8085000
2024-03-13,109.43135070800781,111.01688671771333,109.37298969577584,109.66480217822414,7267900
2024-03-14,109.00334930419922,109.28543989658242,106.52290982710004,108.69207820592953,10520500
2024-03-15,108.89634704589844,109.87879944556131,108.36135379873456,108.55589544837811,15364200
2024-03-18,110.74451446533203,111.3086955986656,109.22706892726434,109.22706892726434,11820800
2024-03-19,111.38652038574219,112.02851375034838,110.15115793577772,110.31652649720651,10999700
2024-03-20,113.2833251953125,113.3319643161915,111.2406082802886,111.48378904210783,11699600
2024-03-21,113.51678466796875,114.15878548674314,112.69970081275234,113.79887526216159,10353500
2024-03-22,112.70942687988281,114.45060209798302,112.68023895336029,113.73078166952493,7144800
2024-03-25,116.10423278808594,116.15287191284898,113.68215428491389,113.77942511315149,12103600
2024-03-26,116.65868377685547,117.11586482947968,114.96614763039192,116.36686387309452,11870000
2024-03-27,117.68004608154297,118.70140090267455,116.74622535752488,117.66058746326135,10782800
2024-03-28,119.02239227294922,120.36474740217933,117.89402997954498,117.94266910026643,15367400
2024-04-01,118.21503448486328,119.06130623440798,117.4854921763452,118.73057652880995,8419700
2024-04-02,119.4698486328125,120.16048113046881,116.88240909379647,116.94077010390349,15517100
2024-04-03,115.7345962524414,120.31612110544978,115.15095646272766,118.93484868058722,22480400
2024-04-04,113.8961410522461,116.91158851549434,113.76968972442326,115.96804594730398,13815400
2024-04-05,115.15095520019531,115.61786554258939,113.12769683992263,113.41950931029182,9653900
2024-04-08,114.1490478515625,115.28713203315395,113.63350582509567,114.80077051063236,6266000
2024-04-09,114.75213623046875,115.27740755353369,113.70159358433887,114.17822578773034,7451100
2024-04-10,113.99342346191406,114.35332626244079,113.1957908097817,113.4195129688191,6746300
2024-04-11,113.95452117919922,115.05369569281295,113.19579829181198,114.38251432876014,6559400
2024-04-12,110.90015411376953,113.51677400349531,110.6277928542847,113.21523224067822,12155200
2024-04-15,109.86906433105469,112.39815017050977,109.69397388711224,111.74642009393692,9637100
2024-04-16,110.77369689941406,111.3767878546575,109.4507929739876,109.74261285391232,9291400
2024-04-17,109.85934448242188,111.09469950000775,109.81070536103454,110.89042854849929,7379000
2024-04-18,109.36325073242188,111.13360635296553,109.12979928281386,110.09279300607373,8235600
2024-04-19,109.5383529663086,109.64535310499868,108.05008775525916,108.67262996875318,9436000
2024-04-22,108.93525695800781,110.54025154351868,108.70180549396805,110.01498018346304,6901700
2024-04-23,110.60833740234375,111.12387943273063,109.72316328369351,109.75234378786062,6839300
